ID_Cliente;Nome;Sobrenome;Categoria;Endereco;Cidade (Estado) - CEP;Email;Idade;CPF
14;André;Almeida;Ouro;Rua Soldado João Soares Pimentel 49;São Paulo (São Paulo) - 03977-010;AndreSousaAlmeida@rhyta.com;57;873.122.346-07
15;André;Almeida;Prata;Rua Henrique Maia Penido 27;Rio de Janeiro (Rio de Janeiro) - 22765-490;AndreCorreiaAlmeida@teleworm.us;58;110.118.263-64
16;Anna;Almeida;Prata;Rua Itaete 399;Porto Alegre (Rio Grande do Sul) - 91130-610;AnnaPereiraAlmeida@cuvox.de;51;493.791.365-44
17;Anna;Almeida;Platina;Rua Vicente Pinheiro 675;São Paulo (São Paulo) - 05794-400;AnnaRibeiroAlmeida@einrot.com;56;626.587.449-78
18;Anna;Almeida;Bronze;Rua Delfim Moreira 1188;Lages (Santa Catarina) - 88523-230;AnnaBarbosaAlmeida@jourrapide.com;44;446.556.416-30
19;Anna;Almeida;Bronze;Rua Quintino Bocaiúva 16;Betim (Minas Gerais) - 32650-310;AnnaAlvesAlmeida@gustr.com;65;809.767.274-04
20;Anna;Almeida;Bronze;Rua Jefferson 598;Belo Horizonte (Minas Gerais) - 31170-690;AnnaCarvalhoAlmeida@teleworm.us;48;685.429.910-10
21;Antônio;Almeida;Bronze;Rua Raimundo de Brito 1799;Teresópolis (Rio de Janeiro) - 25956-115;AntonioFernandesAlmeida@gustr.com;76;307.002.522-66
22;Antônio;Almeida;Bronze;Rua Claro Carneiro de Mendonça 1733;Luziânia (Goiás) - 72813-250;AntonioAzevedoAlmeida@teleworm.us;81;312.091.145-34
23;Antônio;Almeida;Bronze;Rua Padre Tadeu Wrobel 747;Apucarana (Paraná) - 86802-428;AntonioBarrosAlmeida@armyspy.com;25;937.342.212-00
24;Arthur;Almeida;Bronze;Rua do Planeta 1930;Abreu e Lima (Pernambuco) - 53570-460;ArthurCastroAlmeida@gustr.com;44;373.521.502-50
25;Arthur;Almeida;Bronze;Rua Salvador Bancheri 258;Guarulhos (São Paulo) - 07153-270;ArthurBarbosaAlmeida@superrito.com;25;543.765.928-89
26;Beatrice;Almeida;Bronze;Rua Alfredo F Assunção 1822;Santa Maria (Rio Grande do Sul) - 97035-040;BeatricePereiraAlmeida@gustr.com;37;139.633.309-61
27;Beatrice;Almeida;Ouro;Rua José Vicente Faria Lima 1959;Caraguatatuba (São Paulo) - 11677-250;BeatriceCunhaAlmeida@rhyta.com;84;174.532.158-62
28;Beatriz;Almeida;Bronze;Rua Pedro Marques 1301;Carapicuíba (São Paulo) - 06382-010;BeatrizSouzaAlmeida@teleworm.us;56;499.172.422-87
29;Bianca;Almeida;Bronze;Rua Vinte e Nove 300;Betim (Minas Gerais) - 32658-490;BiancaSousaAlmeida@gustr.com;44;450.857.483-10
30;Bianca;Almeida;Bronze;Rua São Tiago 236;Avaré (São Paulo) - 18708-210;BiancaCunhaAlmeida@armyspy.com;56;213.433.673-01
31;Brenda;Almeida;Bronze;Rua Beija-Flor 1581;Aparecida de Goiânia (Goiás) - 74961-610;BrendaSousaAlmeida@superrito.com;79;163.589.846-32
32;Brenda;Almeida;Bronze;Rua Montreal 494;Contagem (Minas Gerais) - 32141-014;BrendaCavalcantiAlmeida@gustr.com;51;559.775.996-50
33;Brenda;Almeida;Bronze;Praça Rialto 1064;Belo Horizonte (Minas Gerais) - 30720-140;BrendaSilvaAlmeida@rhyta.com;74;370.090.234-41
34;Breno;Almeida;Bronze;Beco Um 1995;Porto Alegre (Rio Grande do Sul) - 91780-600;BrenoOliveiraAlmeida@cuvox.de;34;354.227.438-06
35;Breno;Almeida;Bronze;Rua Sabiá 165;Francisco Beltrão (Paraná) - 85604-370;BrenoSilvaAlmeida@armyspy.com;68;162.205.479-26
36;Breno;Almeida;Prata;Rua Adelino da Silva Valle 1219;Brusque (Santa Catarina) - 88352-095;BrenoMartinsAlmeida@fleckens.hu;47;487.693.873-38
37;Bruna;Almeida;Prata;Rua Antônio de Albuquerque 1808;Belo Horizonte (Minas Gerais) - 30112-011;BrunaMartinsAlmeida@dayrep.com;44;764.470.990-81
38;Bruna;Almeida;Prata;Travessa Guanabara 1410;São Roque (São Paulo) - 18132-060;BrunaFerreiraAlmeida@fleckens.hu;39;371.052.109-23
39;Bruno;Almeida;Prata;Rua Antônio Cândido de Oliveira 859;Sorocaba (São Paulo) - 18105-380;BrunoGomesAlmeida@superrito.com;44;386.624.207-70
40;Bruno;Almeida;Prata;Rua Belila 1165;Rio de Janeiro (Rio de Janeiro) - 21840-420;BrunoBarrosAlmeida@einrot.com;67;257.132.892-14
41;Bruno;Almeida;Prata;Travessa Gonçalves Dias 1638;Natal (Rio Grande do Norte) - 59025-365;BrunoCunhaAlmeida@teleworm.us;82;736.181.452-25
42;Bruno;Almeida;Bronze;Rua da Intendência 790;Florianópolis (Santa Catarina) - 88060-338;BrunoAzevedoAlmeida@superrito.com;51;681.906.466-72
43;Bruno;Almeida;Bronze;Rua Juta 155;Atibaia (São Paulo) - 12947-505;BrunoGomesAlmeida@jourrapide.com;33;819.786.979-02
44;Bruno;Almeida;Bronze;Rua GV 17 1275;Goiânia (Goiás) - 74484-423;BrunoBarrosAlmeida@cuvox.de;56;615.859.783-02
45;Camila;Almeida;Bronze;Quadra SHCGN 707 Bloco B 164;Brasília (Distrito Federal) - 70740-732;CamilaGoncalvesAlmeida@superrito.com;39;384.980.362-75
46;Camila;Almeida;Bronze;Rua Nova Vida 81;São Paulo (São Paulo) - 08226-008;CamilaFernandesAlmeida@gustr.com;35;662.095.619-00
47;Camila;Almeida;Bronze;Rua Luís Gasparin 1702;Colombo (Paraná) - 83408-475;CamilaDiasAlmeida@rhyta.com;34;468.392.046-85
48;Carla;Almeida;Bronze;Rua Tarumã 271;Barueri (São Paulo) - 06410-230;CarlaLimaAlmeida@dayrep.com;81;456.033.107-31
49;Carla;Almeida;Bronze;Rua Luís Bertani 302;Botucatu (São Paulo) - 18600-271;CarlaCavalcantiAlmeida@einrot.com;74;332.102.213-32
50;Carla;Almeida;Diamante;Rua Agostinho Martins Pereira 115;Betim (Minas Gerais) - 32532-400;CarlaSilvaAlmeida@fleckens.hu;54;119.540.188-43
51;Carla;Almeida;Diamante;Rua José Luiz Trujillo de Freitas 849;Ponta Grossa (Paraná) - 84030-670;CarlaCastroAlmeida@dayrep.com;37;526.651.557-02
52;Carla;Almeida;Ouro;Rua Paraná 1057;Imperatriz (Maranhão) - 65903-070;CarlaRochaAlmeida@rhyta.com;21;868.590.366-13
53;Carla;Almeida;Diamante;Avenida 2 1425;Rio Claro (São Paulo) - 13504-763;CarlaMeloAlmeida@cuvox.de;56;372.504.688-39
54;Carlos;Almeida;Diamante;Rua Carlos de Carvalho 558;Rio de Janeiro (Rio de Janeiro) - 20230-180;CarlosAlvesAlmeida@fleckens.hu;56;273.654.876-07
55;Carlos;Almeida;Diamante;Rua Wilson Crisnel de Almeida 221;São Paulo (São Paulo) - 05135-390;CarlosBarrosAlmeida@einrot.com;57;962.122.101-36
56;Carlos;Almeida;Prata;Rua José Luís de Brito 1725;São Paulo (São Paulo) - 03823-120;CarlosCostaAlmeida@rhyta.com;32;209.872.660-04
57;Carolina;Almeida;Platina;Rua Carmem de Souza Leão 1826;Recife (Pernambuco) - 50630-320;CarolinaOliveiraAlmeida@superrito.com;44;753.832.770-30
58;Cauã;Almeida;Ouro;Rua Joaquim Alves Filho 1829;Jacareí (São Paulo) - 12310-250;CauaCastroAlmeida@gustr.com;32;530.185.907-24
59;Clara;Almeida;Bronze;Rua Alberto Maxuel 1599;Dourados (Mato Grosso do Sul) - 79830-180;ClaraBarrosAlmeida@rhyta.com;71;457.005.285-17
60;Clara;Almeida;Bronze;Rua Loanda 1727;Londrina (Paraná) - 86043-120;ClaraSouzaAlmeida@jourrapide.com;68;680.969.177-49
61;Daniel;Almeida;Ouro;Rua Horanides Maria da Aparecida 1389;Juiz de Fora (Minas Gerais) - 36051-445;DanielFernandesAlmeida@superrito.com;63;968.154.053-03
62;Daniel;Almeida;Bronze;Rua Marechal Deodoro 735;Alagoinhas (Bahia) - 48005-020;DanielAzevedoAlmeida@dayrep.com;55;149.600.371-30
63;Daniel;Almeida;Prata;Rua Três 481;Vitória (Espírito Santo) - 29032-020;DanielCarvalhoAlmeida@gustr.com;77;643.980.559-24
64;Danilo;Almeida;Bronze;Rua Irmão Justino Luís 1102;São Paulo (São Paulo) - 01551-060;DaniloSilvaAlmeida@teleworm.us;66;529.748.526-61
65;Danilo;Almeida;Platina;Rua Antônio Viesti 204;Ribeirão Preto (São Paulo) - 14075-660;DaniloGoncalvesAlmeida@cuvox.de;29;406.987.713-46
66;Danilo;Almeida;Diamante;Rua Santa Catarina 775;Serra (Espírito Santo) - 29161-360;DaniloFerreiraAlmeida@fleckens.hu;50;403.637.787-64
67;Danilo;Almeida;Platina;Travessa Ziembinski 832;Araçatuba (São Paulo) - 16075-530;DaniloCarvalhoAlmeida@teleworm.us;26;678.066.005-15
68;Danilo;Almeida;Bronze;Rua Raul Antônio da Silva 1494;Palhoça (Santa Catarina) - 88134-770;DaniloCunhaAlmeida@fleckens.hu;63;581.520.423-40
69;Davi;Almeida;Bronze;Rua Olympio P. da Motta 917;Criciúma (Santa Catarina) - 88802-460;DaviPereiraAlmeida@gustr.com;51;235.111.177-04
70;Davi;Almeida;Bronze;Rua Cícero Tomaz Matheus 1871;Araçatuba (São Paulo) - 16012-110;DaviCostaAlmeida@cuvox.de;71;186.530.813-72
71;Diego;Almeida;Diamante;Rua Jacutinga 1689;Nova Iguaçu (Rio de Janeiro) - 26282-280;DiegoSilvaAlmeida@jourrapide.com;46;403.634.588-59
72;Diogo;Almeida;Diamante;Praça General Araripe de Faria 225;São Paulo (São Paulo) - 05590-020;DiogoBarbosaAlmeida@superrito.com;43;602.985.838-60
73;Diogo;Almeida;Ouro;Rua Geraldo Tito Mota 1571;Mogi-Guaçu (São Paulo) - 13848-186;DiogoCorreiaAlmeida@dayrep.com;24;940.850.317-16
74;Douglas;Almeida;Prata;Travessa Manoel Ribeiro de Carvalho 745;Gravatá (Pernambuco) - 55641-756;DouglasSilvaAlmeida@jourrapide.com;85;482.524.862-40
75;Douglas;Almeida;Prata;Via de Pedestre Alzira Cláudio 463;São Paulo (São Paulo) - 02560-090;DouglasRodriguesAlmeida@cuvox.de;34;931.114.087-28
76;Douglas;Almeida;Platina;Rua 23 1973;Aparecida de Goiânia (Goiás) - 74911-220;DouglasAraujoAlmeida@cuvox.de;26;537.539.911-39
77;Eduarda;Almeida;Bronze;Rua Itália 385;Maringá (Paraná) - 87060-250;EduardaOliveiraAlmeida@armyspy.com;37;617.032.398-14
78;Eduarda;Almeida;Prata;Rua 117 730;Maracanaú (Ceará) - 61936-170;EduardaCavalcantiAlmeida@armyspy.com;64;288.180.471-32
79;Eduarda;Almeida;Prata;Avenida Presidente Castelo Branco 1767;Maceió (Alagoas) - 57036-340;EduardaGomesAlmeida@jourrapide.com;64;991.383.513-58
80;Eduarda;Almeida;Prata;Rua Nassib Haddad 1230;Maringá (Paraná) - 87015-270;EduardaCastroAlmeida@superrito.com;26;524.876.487-40
81;Eduardo;Almeida;Prata;Quadra SQSW 102 Bloco B 614;Cruzeiro (Distrito Federal) - 70670-202;EduardoCastroAlmeida@cuvox.de;27;603.642.624-00
82;Emilly;Almeida;Prata;Rua Itajaí 99;Araguaína (Tocantins) - 77808-200;EmillyMeloAlmeida@superrito.com;51;207.586.505-15
83;Emily;Almeida;Prata;Rua Ministro Gabriel de Rezende Passos 234;São Paulo (São Paulo) - 04521-022;EmilyCarvalhoAlmeida@rhyta.com;70;287.805.801-14
84;Emily;Almeida;Bronze;Rua Raul Santos Silva 639;Ribeirão Preto (São Paulo) - 14098-230;EmilyCunhaAlmeida@jourrapide.com;22;177.019.756-75
85;Emily;Almeida;Bronze;Rua Três 655;Osasco (São Paulo) - 06172-170;EmilyAraujoAlmeida@jourrapide.com;41;891.317.473-10
86;Emily;Almeida;Ouro;Rua Doutor Júlio Otoni 252;Rio de Janeiro (Rio de Janeiro) - 20241-400;EmilyOliveiraAlmeida@dayrep.com;83;123.959.027-05
87;Emily;Almeida;Bronze;Rua Rodolfo Portugal Milward 609;Rio de Janeiro (Rio de Janeiro) - 22780-590;EmilyAlvesAlmeida@einrot.com;75;642.916.643-03
88;Emily;Almeida;Bronze;Rua Ana Luiza Vieira 924;Florianópolis (Santa Catarina) - 88063-640;EmilyFernandesAlmeida@rhyta.com;63;948.426.523-57
89;Enzo;Almeida;Bronze;Rua Estrela 104;Nova Iguaçu (Rio de Janeiro) - 26031-710;EnzoCardosoAlmeida@superrito.com;43;442.609.571-98
90;Enzo;Almeida;Ouro;Rua João Ladislau Tabalipa 1330;Itajaí (Santa Catarina) - 88305-030;EnzoGomesAlmeida@teleworm.us;42;408.189.651-85
91;Enzo;Almeida;Ouro;Rua Tatui 1084;Vila Velha (Espírito Santo) - 29128-115;EnzoBarbosaAlmeida@fleckens.hu;58;963.888.818-07
92;Enzo;Almeida;Bronze;Rua Vinte e Três 87;Praia Grande (São Paulo) - 11722-480;EnzoSantosAlmeida@fleckens.hu;72;168.666.362-56
93;Enzo;Almeida;Bronze;Avenida C-0255 1150;Goiânia (Goiás) - 74280-010;EnzoSantosAlmeida@cuvox.de;73;668.174.677-21
94;Enzo;Almeida;Bronze;Rua Martins Cruz 59;Caraguatatuba (São Paulo) - 11673-090;EnzoCardosoAlmeida@dayrep.com;69;218.449.364-30
95;Erick;Almeida;Prata;Rua Ângelo Renzi 1782;Suzano (São Paulo) - 08640-649;ErickFerreiraAlmeida@cuvox.de;41;506.022.624-70
96;Erick;Almeida;Prata;Rua Tadeu Santos 1020;Salvador (Bahia) - 41640-390;ErickCunhaAlmeida@jourrapide.com;64;168.042.546-35
97;Erick;Almeida;Prata;Avenida Dom Lucas 201;Salvador (Bahia) - 40323-240;ErickCorreiaAlmeida@jourrapide.com;29;715.143.249-62
98;Estevan;Almeida;Prata;Rua Artesão Antônio de Oliveira 1223;Juiz de Fora (Minas Gerais) - 36036-231;EstevanRochaAlmeida@jourrapide.com;39;996.505.047-37
99;Evelyn;Almeida;Prata;Rua Olmiro Gonçalves Dias 258;Cruz Alta (Rio Grande do Sul) - 98025-620;EvelynGomesAlmeida@jourrapide.com;47;692.207.262-62
100;Evelyn;Almeida;Prata;Rua Theodorico Selva 928;Recife (Pernambuco) - 50900-070;EvelynPintoAlmeida@superrito.com;32;578.722.461-20
101;Evelyn;Almeida;Bronze;Rua João Gonçalves de Peneda 41;São Paulo (São Paulo) - 04902-110;EvelynRibeiroAlmeida@jourrapide.com;42;997.282.360-18
102;Fábio;Almeida;Bronze;Rua Vinte e Sete 682;Montes Claros (Minas Gerais) - 39404-096;FabioBarbosaAlmeida@armyspy.com;75;738.634.791-06
103;Fábio;Almeida;Bronze;Rua José Lugobone 1883;Mogi das Cruzes (São Paulo) - 08850-205;FabioGomesAlmeida@teleworm.us;34;727.962.178-33
104;Fábio;Almeida;Bronze;Rua Riachuelo 581;Goiânia (Goiás) - 74340-110;FabioCarvalhoAlmeida@armyspy.com;68;677.073.619-54
105;Felipe;Almeida;Bronze;Rua Clarisse de Jesus Lázaro Bedeshi 1774;Mauá (São Paulo) - 09371-067;FelipeAzevedoAlmeida@gustr.com;57;711.432.892-34
106;Felipe;Almeida;Bronze;Rua Tamoios 1098;Coronel Fabriciano (Minas Gerais) - 35171-268;FelipeBarrosAlmeida@einrot.com;59;490.821.329-15
107;Felipe;Almeida;Bronze;Rua Riviera 353;Goiânia (Goiás) - 74705-050;FelipeLimaAlmeida@teleworm.us;42;455.124.226-85
108;Fernanda;Almeida;Bronze;Rua Célio Moreira de Carvalho 861;Belo Horizonte (Minas Gerais) - 30575-155;FernandaRibeiroAlmeida@gustr.com;51;116.620.748-08
109;Fernanda;Almeida;Diamante;Rua Pedro Aguiar 403;Fortaleza (Ceará) - 60742-220;FernandaGoncalvesAlmeida@gustr.com;40;835.563.164-12
110;Gabriel;Almeida;Diamante;Rua Doutor Manoel Nicácio 274;Franca (São Paulo) - 14405-115;GabrielBarrosAlmeida@einrot.com;80;602.436.058-46
111;Gabriela;Almeida;Ouro;Rua Alto da Boa Esperança 739;Jaboatão dos Guararapes (Pernambuco) - 54080-510;GabrielaPereiraAlmeida@jourrapide.com;68;908.855.706-34
112;Gabrielle;Almeida;Diamante;Rua Barbosa Resende 235;Belo Horizonte (Minas Gerais) - 30430-680;GabriellePintoAlmeida@jourrapide.com;45;934.633.814-86
113;Gabrielle;Almeida;Diamante;Rua Luís Gomes Tourinho 709;São Paulo (São Paulo) - 08430-710;GabrielleSousaAlmeida@rhyta.com;49;412.352.250-54
114;Gabrielly;Almeida;Diamante;Rua Belo Monte 1109;Natal (Rio Grande do Norte) - 59100-130;GabriellySouzaAlmeida@gustr.com;66;890.726.068-09
115;Gabrielly;Almeida;Prata;Rua Patagônia 296;São Paulo (São Paulo) - 04429-240;GabriellyBarrosAlmeida@gustr.com;54;753.807.620-42
116;Gabrielly;Almeida;Platina;Rua Afonso Bernardinelli 1868;Jacareí (São Paulo) - 12309-240;GabriellyBarbosaAlmeida@dayrep.com;74;997.129.593-84
117;Gabrielly;Almeida;Ouro;Rua Vicente Domakoski 1692;Almirante Tamandaré (Paraná) - 83513-060;GabriellySousaAlmeida@dayrep.com;36;187.954.922-08
118;Giovana;Almeida;Bronze;Rua Oito 470;Várzea Grande (Mato Grosso) - 78149-384;GiovanaFernandesAlmeida@teleworm.us;58;625.509.909-19
119;Giovana;Almeida;Diamante;Rua Teixeira 7;Nova Iguaçu (Rio de Janeiro) - 26031-680;GiovanaPereiraAlmeida@cuvox.de;44;388.619.575-95
120;Giovana;Almeida;Diamante;Rua São João 1091;São Luís (Maranhão) - 65046-790;GiovanaSantosAlmeida@rhyta.com;22;468.737.963-01
121;Giovana;Almeida;Diamante;Rua Igino Scarpelli 278;Santo André (São Paulo) - 09112-150;GiovanaAraujoAlmeida@jourrapide.com;70;840.134.124-89
122;Giovana;Almeida;Ouro;Rua 66 809;Manaus (Amazonas) - 69099-580;GiovanaSilvaAlmeida@rhyta.com;67;349.103.361-68
123;Giovana;Almeida;Diamante;Rua Taparuba 1584;São Paulo (São Paulo) - 08070-110;GiovanaSilvaAlmeida@jourrapide.com;60;971.217.384-49
124;Giovana;Almeida;Diamante;Praça Romualdo de Souza Brito 1174;Mogi das Cruzes (São Paulo) - 08717-110;GiovanaFerreiraAlmeida@jourrapide.com;73;506.349.918-09
125;Giovanna;Almeida;Diamante;Travessa São Miguel 981;Olinda (Pernambuco) - 53180-111;GiovannaPereiraAlmeida@gustr.com;42;938.360.435-21
126;Giovanna;Almeida;Platina;Quadra SQS 415 Bloco Q 1968;Brasília (Distrito Federal) - 70298-170;GiovannaPintoAlmeida@cuvox.de;53;493.800.752-51
127;Giovanna;Almeida;Diamante;Rua Antônio Dias Ferraz 1509;Ourinhos (São Paulo) - 19910-091;GiovannaCunhaAlmeida@teleworm.us;78;888.023.377-72
128;Guilherme;Almeida;Diamante;Rua Quatro 659;Campinas (São Paulo) - 13054-084;GuilhermeCastroAlmeida@jourrapide.com;69;310.432.966-46
129;Guilherme;Almeida;Bronze;Quadra Quadra QR 116 Conjunto B 259;Santa Maria (Distrito Federal) - 72546-402;GuilhermeCavalcantiAlmeida@teleworm.us;27;654.157.267-48
130;Guilherme;Almeida;Bronze;Rua Geraldo Buriti 135;Natal (Rio Grande do Norte) - 59070-070;GuilhermeSousaAlmeida@armyspy.com;70;966.043.606-87
131;Guilherme;Almeida;Bronze;Rua Echuga 1054;Guarulhos (São Paulo) - 07020-320;GuilhermeDiasAlmeida@armyspy.com;64;533.572.937-65
132;Guilherme;Almeida;Prata;Rua Natal 849;João Monlevade (Minas Gerais) - 35930-267;GuilhermeAzevedoAlmeida@armyspy.com;57;923.440.332-03
133;Guilherme;Almeida;Prata;Rua Espatódia 796;Campo Grande (Mato Grosso do Sul) - 79115-550;GuilhermeRochaAlmeida@armyspy.com;78;490.524.538-96
134;Guilherme;Almeida;Bronze;Praça Brigadeiro Alves Seco 1223;São Paulo (São Paulo) - 02936-080;GuilhermeBarrosAlmeida@cuvox.de;29;657.252.344-60
135;Gustavo;Almeida;Bronze;Rua Adelino Contessoto 1075;Mogi-Guaçu (São Paulo) - 13845-400;GustavoPintoAlmeida@teleworm.us;55;868.254.714-73
136;Gustavo;Almeida;Platina;Rua Quiri 881;Recife (Pernambuco) - 52210-160;GustavoLimaAlmeida@rhyta.com;35;301.142.624-46
137;Igor;Almeida;Diamante;Rua Maringá 1410;Cascavel (Paraná) - 85816-280;IgorBarbosaAlmeida@einrot.com;35;221.343.356-96
138;Igor;Almeida;Diamante;Rua de 2 Maio 742;Salvador (Bahia) - 41205-500;IgorCavalcantiAlmeida@superrito.com;32;591.794.547-04
139;Igor;Almeida;Diamante;Rua Bento Gonçalves 866;Caxias do Sul (Rio Grande do Sul) - 95020-411;IgorSousaAlmeida@dayrep.com;24;680.791.763-53
140;Igor;Almeida;Platina;Rua Sargitários 1401;Boa Vista (Roraima) - 69316-454;IgorCunhaAlmeida@einrot.com;54;731.711.750-10
141;Isabela;Almeida;Diamante;Rua Flórida 1731;Fortaleza (Ceará) - 60176-065;IsabelaAzevedoAlmeida@rhyta.com;46;791.536.751-00
142;Isabella;Almeida;Diamante;Rua Luís Baldim 646;Pirassununga (São Paulo) - 13631-496;IsabellaAlvesAlmeida@teleworm.us;44;761.004.139-49
143;Isabella;Almeida;Prata;Rua Flor de Palha 692;Foz do Iguaçu (Paraná) - 85853-310;IsabellaOliveiraAlmeida@armyspy.com;74;984.952.316-62
144;Isabelle;Almeida;Diamante;Rua Bela Vista 1342;Boa Vista (Roraima) - 69317-078;IsabelleGomesAlmeida@cuvox.de;31;602.203.085-43
145;Isabelle;Almeida;Diamante;Viela Abas 388;Guarulhos (São Paulo) - 07024-004;IsabelleRochaAlmeida@superrito.com;20;819.755.093-07
146;Isabelle;Almeida;Bronze;Estrada das Pedrinhas 1638;Salvador (Bahia) - 41720-340;IsabelleSouzaAlmeida@rhyta.com;20;712.521.544-02
147;Isabelle;Almeida;Bronze;Travessa Santa Filomena 930;Barretos (São Paulo) - 14780-775;IsabellePereiraAlmeida@gustr.com;69;487.491.578-76
148;Isabelle;Almeida;Bronze;Rua Comendador Freixo 296;São Vicente (São Paulo) - 11390-160;IsabelleBarbosaAlmeida@fleckens.hu;34;168.642.276-85
149;Isabelle;Almeida;Bronze;Rua Manoel Raimundo da Silva 1679;Bauru (São Paulo) - 17064-010;IsabelleCardosoAlmeida@cuvox.de;69;685.707.243-49
150;Joao;Almeida;Bronze;Rua das Algas 841;Florianópolis (Santa Catarina) - 88053-505;JoaoMeloAlmeida@rhyta.com;84;906.641.270-45
151;Joao;Almeida;Ouro;Quadra QNM 38 Conjunto H2 1961;Taguatinga (Distrito Federal) - 72145-838;JoaoGomesAlmeida@dayrep.com;59;204.348.976-39
152;Joao;Almeida;Ouro;Rua Ladislau Ferreira de Barros 1057;João Pessoa (Paraíba) - 58063-310;JoaoAlvesAlmeida@cuvox.de;75;409.648.501-25
153;João;Almeida;Bronze;Rua Lusmar Machado de Moraes 1707;Vitória (Espírito Santo) - 29040-030;JoaoGoncalvesAlmeida@jourrapide.com;73;791.694.912-16
154;João;Almeida;Bronze;Rua Pedro Corrotti 1706;Belo Horizonte (Minas Gerais) - 31585-170;JoaoBarrosAlmeida@dayrep.com;30;684.145.027-25
155;João;Almeida;Diamante;Rua Paulo Geraldo Rosa 1257;Blumenau (Santa Catarina) - 89050-640;JoaoRodriguesAlmeida@rhyta.com;81;126.456.998-04
156;José;Almeida;Ouro;Praça Luiz Fernando Giopato 779;Valinhos (São Paulo) - 13275-219;JoseBarbosaAlmeida@gustr.com;43;941.068.359-91
157;José;Almeida;Diamante;Rua Onofre Zinherco 625;Almirante Tamandaré (Paraná) - 83511-480;JoseLimaAlmeida@gustr.com;77;949.654.341-37
158;Julia;Almeida;Diamante;Rua P 7 282;Goiânia (Goiás) - 74543-190;JuliaCunhaAlmeida@einrot.com;73;927.658.114-66
159;Julia;Almeida;Diamante;Rua Shirly 590;Salvador (Bahia) - 41150-470;JuliaMeloAlmeida@armyspy.com;43;510.182.984-60
160;Julia;Almeida;Prata;Alameda Áustria 1082;Poços de Caldas (Minas Gerais) - 37706-191;JuliaDiasAlmeida@teleworm.us;48;529.371.052-46
161;Júlia;Almeida;Platina;Quadra Quadra 506 1437;Novo Gama (Goiás) - 72860-469;JuliaAraujoAlmeida@teleworm.us;20;193.670.734-96
162;Júlia;Almeida;Ouro;Rua Atílio Zaramella 1508;Curitiba (Paraná) - 82540-170;JuliaCorreiaAlmeida@fleckens.hu;84;249.889.762-38
163;Júlia;Almeida;Bronze;Avenida Horácio Lafer 1595;São Paulo (São Paulo) - 04538-081;JuliaSouzaAlmeida@fleckens.hu;75;691.140.227-10
164;Júlia;Almeida;Diamante;Rua Triângulo 1458;Fortaleza (Ceará) - 60442-030;JuliaOliveiraAlmeida@fleckens.hu;68;971.879.779-30
165;Júlia;Almeida;Diamante;Rua Toritama 1056;Natal (Rio Grande do Norte) - 59131-110;JuliaCorreiaAlmeida@einrot.com;42;679.232.214-80
166;Júlia;Almeida;Diamante;Travessa Rutembere Assis Pinho 1290;Jaboticabal (São Paulo) - 14876-194;JuliaCastroAlmeida@dayrep.com;61;767.272.540-87
167;Julian;Almeida;Ouro;Rua João de Barros 196;Santo André (São Paulo) - 09170-230;JulianAraujoAlmeida@rhyta.com;83;214.432.017-90
